sample_id,group_id,official_split,protocol_split,rgb_path,label_path,label_visualization_path,depth_preview_path,rgb_exists,label_exists,label_visualization_exists,depth_preview_exists,rgb_width,rgb_height,label_width,label_height,depth_width,depth_height,depth_mode,label_ids,passable_pixels,total_pixels,passable_ratio
000001_001,000001,official_train,train,AeroScapes/JPEGImages/000001_001.jpg,AeroScapes/SegmentationClass/000001_001.png,AeroScapes/Visualizations/000001_001.png,AeroScapes/DepthImages/depth_000001_001.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,105096,921600,0.11403646
000001_002,000001,official_train,train,AeroScapes/JPEGImages/000001_002.jpg,AeroScapes/SegmentationClass/000001_002.png,AeroScapes/Visualizations/000001_002.png,AeroScapes/DepthImages/depth_000001_002.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,104465,921600,0.11335178
000001_003,000001,official_train,train,AeroScapes/JPEGImages/000001_003.jpg,AeroScapes/SegmentationClass/000001_003.png,AeroScapes/Visualizations/000001_003.png,AeroScapes/DepthImages/depth_000001_003.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,102577,921600,0.11130317
000001_004,000001,official_train,train,AeroScapes/JPEGImages/000001_004.jpg,AeroScapes/SegmentationClass/000001_004.png,AeroScapes/Visualizations/000001_004.png,AeroScapes/DepthImages/depth_000001_004.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,102306,921600,0.11100911
000001_005,000001,official_train,train,AeroScapes/JPEGImages/000001_005.jpg,AeroScapes/SegmentationClass/000001_005.png,AeroScapes/Visualizations/000001_005.png,AeroScapes/DepthImages/depth_000001_005.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,99814,921600,0.10830512
000001_006,000001,official_train,train,AeroScapes/JPEGImages/000001_006.jpg,AeroScapes/SegmentationClass/000001_006.png,AeroScapes/Visualizations/000001_006.png,AeroScapes/DepthImages/depth_000001_006.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,99425,921600,0.10788303
000001_007,000001,official_train,train,AeroScapes/JPEGImages/000001_007.jpg,AeroScapes/SegmentationClass/000001_007.png,AeroScapes/Visualizations/000001_007.png,AeroScapes/DepthImages/depth_000001_007.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,99393,921600,0.10784831
000001_008,000001,official_train,train,AeroScapes/JPEGImages/000001_008.jpg,AeroScapes/SegmentationClass/000001_008.png,AeroScapes/Visualizations/000001_008.png,AeroScapes/DepthImages/depth_000001_008.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,99877,921600,0.10837348
000001_009,000001,official_train,train,AeroScapes/JPEGImages/000001_009.jpg,AeroScapes/SegmentationClass/000001_009.png,AeroScapes/Visualizations/000001_009.png,AeroScapes/DepthImages/depth_000001_009.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,101422,921600,0.11004991
000001_010,000001,official_train,train,AeroScapes/JPEGImages/000001_010.jpg,AeroScapes/SegmentationClass/000001_010.png,AeroScapes/Visualizations/000001_010.png,AeroScapes/DepthImages/depth_000001_010.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,101429,921600,0.11005751
000001_011,000001,official_train,train,AeroScapes/JPEGImages/000001_011.jpg,AeroScapes/SegmentationClass/000001_011.png,AeroScapes/Visualizations/000001_011.png,AeroScapes/DepthImages/depth_000001_011.jpg,True,True,True,True,1280,720,1280,720,504,280,RGB,0 1 3 7 8 9 10 11,101664,921600,0.11031250
